imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1543752,6.2,40,14,19,33,35,25,17,15,17,12
tt1544578,5.8,81,51,110,190,233,181,104,80,42,75
tt1544590,6.5,51,28,47,99,130,63,19,10,10,15
tt1544592,7.0,19,21,42,58,46,17,6,2,0,5
tt1544600,7.2,780,264,355,366,294,184,106,56,53,196
tt1544601,6.4,17,17,41,89,70,28,18,3,1,18
tt1544608,5.5,533,222,589,1254,2263,2458,1444,669,342,377
tt1545106,5.4,657,246,609,1184,1764,1894,1075,725,461,658
tt1545304,5.2,276,109,363,921,1611,1533,909,433,380,426
tt1545315,5.4,314,115,146,225,374,523,416,246,147,188
tt1545319,5.3,45,14,29,54,84,93,55,38,30,52
tt1545322,7.5,100,60,7,11,7,15,12,6,10,27
tt1545328,5.8,223,54,127,280,527,408,225,86,56,117
tt1545464,6.1,38,11,20,35,40,27,16,12,3,27
tt1545489,5.8,32,10,16,7,12,6,11,9,6,29
tt1545660,6.3,3229,572,1519,2729,3889,2996,1662,1043,639,696
tt1545677,6.1,13,13,26,52,74,48,15,9,4,8
tt1545754,5.4,523,265,826,2106,3612,3549,1899,926,551,609
tt1545759,6.9,562,707,2554,5060,2813,896,322,166,86,144
tt1545976,3.0,18,2,0,7,14,20,36,35,52,109
tt1545979,7.4,38,25,50,61,42,14,7,1,1,3
tt1545985,6.3,67,93,213,256,225,121,68,49,41,55
tt1546036,6.3,485,238,471,800,740,428,210,168,130,249
tt1546420,6.2,70,31,40,86,132,87,50,25,13,26
tt1546421,4.7,39,22,33,57,82,112,108,70,50,98
tt1546649,6.3,5,10,34,49,26,26,9,8,4,7
tt1547039,5.7,22,4,2,20,18,20,11,10,5,14
tt1547084,5.6,79,43,171,213,290,276,171,119,76,72
tt1547089,5.1,10,3,4,14,13,24,15,10,4,15
tt1547090,4.0,164,22,56,71,123,149,162,225,216,450
tt1547230,5.0,473,69,135,207,295,328,345,255,225,572
tt1547234,6.6,4907,4280,15211,36546,29025,11080,4120,1866,866,1002
tt1547442,6.9,34,17,24,28,14,7,6,6,1,17
tt1547444,5.9,31,6,14,35,56,37,18,19,6,16
tt1547631,5.9,11,7,14,35,55,26,9,8,6,11
tt1547638,6.9,51,66,209,281,160,65,25,18,17,18
tt1547640,5.9,9,6,13,37,58,27,14,6,4,9
tt1548542,7.0,164,169,450,545,264,112,41,47,24,69
tt1548553,4.5,22,3,2,6,5,7,9,17,12,30
tt1548559,6.1,11,16,24,109,141,54,27,7,4,12
tt1548563,6.8,19,21,48,51,30,21,11,8,1,7
tt1548597,5.9,16,6,16,47,117,79,20,10,3,8
tt1548603,5.9,16,14,42,118,149,100,51,21,12,8
tt1548624,5.0,18,8,19,46,63,57,36,34,19,43
tt1548629,6.5,79,77,191,290,229,118,70,28,28,35
tt1548635,3.9,109,16,35,73,156,205,305,349,281,279
tt1549571,5.7,124,28,46,74,120,122,69,37,40,87
tt1549572,7.0,6621,9138,20407,26265,14176,6127,2801,1534,1075,1541
tt1549584,5.8,50,63,63,96,112,106,65,62,41,39
